Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor; Consumo ;Consumidores
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Rural;Cativo;37.484,09;129.355
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Rural;Livre;55,75;1
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;2.741.039,92;2.744.105
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;1.868.084,65;15.392
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;628.832,29;138.058
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;7.903.367,44;8.193
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;1.484.094,24;294.027
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Livre;534.563,66;909
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.874.461,66;36.198.017
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;492,83;5
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;730.719,46;1.015.341
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Livre;98.655,07;242
20240501;01/05/2024;Sul;SUL;Comercial;Cativo;1.035.316,94;1.101.392
20240501;01/05/2024;Sul;SUL;Comercial;Livre;507.308,27;5.057
20240501;01/05/2024;Sul;SUL;Industrial;Cativo;438.611,83;229.323
20240501;01/05/2024;Sul;SUL;Industrial;Livre;2.708.423,28;4.727
20240501;01/05/2024;Sul;SUL;Outros;Cativo;519.184,96;129.007
20240501;01/05/2024;Sul;SUL;Outros;Livre;51.849,54;290
20240501;01/05/2024;Sul;SUL;Residencial;Cativo;2.321.033,72;11.199.550
20240501;01/05/2024;Sul;SUL;Residencial;Livre;0,50;1
20240501;01/05/2024;Sul;SUL;Rural;Cativo;562.407,46;867.434
20240501;01/05/2024;Sul;SUL;Rural;Livre;293.860,12;344
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;495.484,77;505.092
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;208.438,91;1.925
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;88.297,80;32.358
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;867.235,96;848
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;387.552,70;62.793
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;26.100,14;149
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.382.255,05;6.334.608
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;295.630,22;505.968
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;13.431,76;105
20240401;01/04/2024;Nordeste;NORDESTE;Comercial;Cativo;815.696,04;1.298.546
20240401;01/04/2024;Nordeste;NORDESTE;Comercial;Livre;454.779,54;3.518
20240401;01/04/2024;Nordeste;NORDESTE;Industrial;Cativo;148.663,38;32.395
20240401;01/04/2024;Nordeste;NORDESTE;Industrial;Livre;1.704.706,06;1.568
20240401;01/04/2024;Nordeste;NORDESTE;Outros;Cativo;791.664,22;260.380
20240401;01/04/2024;Nordeste;NORDESTE;Outros;Livre;147.693,11;343
20240401;01/04/2024;Nordeste;NORDESTE;Residencial;Cativo;2.754.188,09;19.691.524
20240401;01/04/2024;Nordeste;NORDESTE;Residencial;Livre;25,00;1
20240401;01/04/2024;Nordeste;NORDESTE;Rural;Cativo;392.534,18;1.053.826
20240401;01/04/2024;Nordeste;NORDESTE;Rural;Livre;8.098,25;93
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;61.681,89;60.709
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Comercial;Livre;43.872,36;427
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Industrial;Cativo;10.786,07;2.760
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Industrial;Livre;487.239,36;103
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Outros;Cativo;106.059,59;39.219
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Outros;Livre;862,52;37
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;397.980,70;2.530.934
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;59,94;1
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Rural;Cativo;23.707,36;122.735
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Rural;Livre;1.411,26;11
20240401;01/04/2024;Nordeste;SISTEMAS ISOLADOS;Comercial;Cativo;1.074,00;286
20240401;01/04/2024;Nordeste;SISTEMAS ISOLADOS;Industrial;Cativo;20,00;3
20240401;01/04/2024;Nordeste;SISTEMAS ISOLADOS;Outros;Cativo;381,00;105
20240401;01/04/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;975,00;706
20240401;01/04/2024;Nordeste;SISTEMAS ISOLADOS;Rural;Cativo;8,00;6
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Comercial;Cativo;261.143,72;260.396
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Comercial;Livre;127.622,18;900
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Industrial;Cativo;54.375,33;6.978
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Industrial;Livre;1.233.988,18;552
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Outros;Cativo;228.144,40;42.165
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Outros;Livre;30.151,86;216
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;766.488,45;3.960.868
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Rural;Cativo;51.393,03;293.620
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Rural;Livre;3.594,75;38
20240401;01/04/2024;Norte;SISTEMAS ISOLADOS;Comercial;Cativo;47.483,70;46.267
20240401;01/04/2024;Norte;SISTEMAS ISOLADOS;Industrial;Cativo;6.247,10;804
20240401;01/04/2024;Norte;SISTEMAS ISOLADOS;Industrial;Livre;3.540,00;1
20240401;01/04/2024;Norte;SISTEMAS ISOLADOS;Outros;Cativo;48.963,75;14.191
20240401;01/04/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;149.749,30;611.876
20240401;01/04/2024;Norte;SISTEMAS ISOLADOS;Rural;Cativo;10.685,69;54.220
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Comercial;Cativo;69.794,06;67.299
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Comercial;Livre;18.161,11;153
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Industrial;Cativo;15.959,50;2.685
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Industrial;Livre;34.303,15;54
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Outros;Cativo;55.703,83;8.554
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;201.749,90;735.439
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Rural;Cativo;36.623,71;129.835
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Rural;Livre;57,59;1
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;2.746.063,02;2.743.651
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;1.979.603,98;14.880
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;644.104,68;138.789
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;7.860.321,30;7.798
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;1.483.748,18;293.329
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Livre;543.199,24;861
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.722.685,82;36.016.092
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;464,83;4
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;612.719,70;1.013.912
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Livre;92.797,35;229
20240401;01/04/2024;Sul;SUL;Comercial;Cativo;1.168.010,37;1.142.342
20240401;01/04/2024;Sul;SUL;Comercial;Livre;545.066,75;4.924
20240401;01/04/2024;Sul;SUL;Industrial;Cativo;458.245,10;230.639
20240401;01/04/2024;Sul;SUL;Industrial;Livre;2.758.689,21;4.575
20240401;01/04/2024;Sul;SUL;Outros;Cativo;571.702,72;131.147
20240401;01/04/2024;Sul;SUL;Outros;Livre;51.517,21;221
20240401;01/04/2024;Sul;SUL;Residencial;Cativo;2.573.012,88;11.514.390
20240401;01/04/2024;Sul;SUL;Rural;Cativo;655.869,11;876.250
20240401;01/04/2024;Sul;SUL;Rural;Livre;308.525,66;339
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;489.927,68;503.399
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;215.086,67;1.858
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;86.734,43;32.583
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;852.073,18;834
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;380.821,52;62.762
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;25.537,24;138
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.422.776,18;6.321.913
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;285.246,69;504.969
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;14.566,77;96
20240301;01/03/2024;Nordeste;NORDESTE;Comercial;Cativo;803.026,71;1.296.807
20240301;01/03/2024;Nordeste;NORDESTE;Comercial;Livre;425.968,67;3.527
20240301;01/03/2024;Nordeste;NORDESTE;Industrial;Cativo;148.018,29;32.718
20240301;01/03/2024;Nordeste;NORDESTE;Industrial;Livre;1.714.639,73;1.524
20240301;01/03/2024;Nordeste;NORDESTE;Outros;Cativo;774.161,62;258.989
